ID;IP;MAC;SN
1;10.0.0.111;6C:3B:E5:04:60:BF;VNCVDCM1V7
2;10.0.0.113;EC:9A:74:34:24:24;CNRTD120R0
3;10.0.0.114;38:EA:A7:69:CB:3D;VNDVF7X0V8
4;10.0.0.115;28:80:23:11:65:6C;CNFVG6D1GL
5;10.0.0.119;14:58:D0:3A:54:7B;CNFVGBQ1LD
6;10.0.0.120;64:51:06:20:74:A1;CNFVG990H2
7;10.0.0.121;00:1B:78:17:B5:47;JPRTD8Q02V
8;10.0.0.208;6C:C2:17:29:F1:27;CNFVG990BH
9;10.0.0.215;A0:48:1C:67:B6:E8;CNB8F93DDF
10;10.0.0.216;64:51:06:20:94:07;CNFVG990DD
11;10.0.0.225;14:58:D0:3A:54:83;CNFVH150HG
12;10.0.0.228;88:51:FB:EC:2A:60;JPCVF410KD
13;10.0.0.231;14:58:D0:3A:20:B3;CNFVGBQ1N3
14;10.0.0.232;A0:8C:FD:16:20:4D;CNDVJ5Q0KT
15;10.0.0.233;74:46:A0:51:0C:81;CND8F373M0
16;10.0.0.246;74:46:A0:51:0C:DA;CND8F3V5JT
17;10.0.0.247;40:A8:F0:B5:DF:B4;VNEVG5F0HH
18;222.0.0.90;84:2A:FD:01:D2:C7;CNFVP2H040
19;222.0.0.91;84:2A:FD:01:D2:F5;CNFVP2G16Q
20;222.0.2.1;C4:34:6B:1A:F8:6B;CNFTG6D0Y8
21;222.0.2.10;14:58:D0:3A:20:AE;CNFVGBQ1MH
22;222.0.2.11;84:A9:3E:55:65:7F;CNFVLDC0RC
23;222.0.2.12;FC:3F:DB:52:02:94;CNBVJ2Q0PD
24;222.0.2.13;F0:92:1C:5F:EC:BB;VNDVF8W05B
25;222.0.2.14;FC:3F:DB:52:F1:F8;CNBVJ2Q0P6
26;222.0.2.15;FC:3F:DB:52:F1:FA;CNBVJ2Q0NX
27;222.0.2.17;FC:3F:DB:BF:4F:F8;CNDVJ4N03T
28;222.0.2.20;FC:3F:DB:C0:C6:CD;CNDVJ2H0KB
29;222.0.2.21;FC:3F:DB:C0:B6:75;CNDVJ2H0KV
30;222.0.2.222;80:C1:6E:94:A6:87;CNRTD3T0RK
31;222.0.2.25;FC:15:B4:78:AD:C9;VNCVDDM0VX
32;222.0.2.26;8C:DC:D4:5B:E2:5C;CNB6G8D03H
33;222.0.2.27;00:17:C8:27:CD:AC;LH46520457
34;222.0.2.29;84:2A:FD:01:E2:21;CNFVP2G167
35;222.0.2.30;FC:15:B4:31:F7:13;VNEVG3D1NK
36;222.0.2.31;84:A9:3E:55:75:45;CNFVLDC0RF
37;222.0.2.32;F4:39:09:BD:25:2D;CNDKLBL394
38;222.0.2.33;B4:B6:86:C5:D0:1E;CNDKL7F1RK
39;222.0.2.34;E4:E7:49:5B:67:4F;CNBVM130WW
40;222.0.2.35;A4:5D:36:61:A8:3D;VNDVF8W02H
41;222.0.2.36;A4:5D:36:5F:B2:52;VNDVFBG0WR
42;222.0.2.38;14:58:D0:3A:54:FA;CNFVGBQ1LQ
43;222.0.2.39;84:A9:3E:53:4C:EF;CNFVLCW07S
44;222.0.2.4;2C:44:FD:06:04:A6;CND8F6G77X
45;222.0.2.40;2C:41:38:7C:1F:FF;CNRTCBF1HD
46;222.0.2.41;10:60:4B:16:62:88;CNB7D8VH9M
47;222.0.2.42;DC:4A:3E:B2:7D:6A;CNB7J1LMTT
48;222.0.2.43;00:17:C8:27:CD:54;LH46520456
49;222.0.2.45;A4:5D:36:61:29:AE;VNCVDDM0RM
50;222.0.2.47;00:17:C8:8C:4D:9B;RFH9919090
51;222.0.2.48;E8:D8:D1:AF:50:1E;CNBVN1R0JK
52;222.0.2.5;38:EA:A7:6B:8A:4A;CNCTDDW0KM
53;222.0.2.50;84:2A:FD:01:D2:CB;CNFVP2G16K
54;222.0.2.53;98:E7:F4:A3:95:31;CNBVJDF009
55;222.0.2.6;14:58:D0:40:58:E0;CNB6G8CGRC
56;222.0.2.60;88:51:FB:EE:03:26;CNCVD6X0DV
57;222.0.2.61;E4:E7:49:5F:03:2B;CNDKLD71LB
58;222.0.2.7;64:51:06:20:74:B0;CNFVG990BV
59;222.0.2.8;E8:39:35:90:A3:D1;CN5SD2606D
60;222.0.2.9;D0:BF:9C:33:1B:16;CNDVH1617V